pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
remote_home_2---leisure_2	0	0	0	0	1	0	0	0	0	0	0	0	0
remote_work_1---education_1	0	0	0	0	0	0	1	1	0	0	0	0	0
remote_work_1---escort_kids_2	0	0	0	1	0	0	0	0	0	0	0	0	0
remote_work_1---escort_kids_3	0	0	1	0	1	0	0	0	0	0	0	0	0
remote_work_1---escort_other_1	1	0	0	0	1	0	1	0	0	0	2	0	0
remote_work_1---escort_other_2	0	0	0	0	1	0	0	0	0	0	0	0	0
remote_work_1---home_1	31	20	15	14	11	10	9	6	4	5	5	11	5
remote_work_1---home_2	25	18	13	6	5	5	2	5	2	1	1	3	2
remote_work_1---home_3	1	2	1	2	1	3	0	1	0	2	1	0	0
remote_work_1---leisure_1	18	13	8	2	11	3	4	3	0	0	0	0	0
remote_work_1---leisure_2	3	1	2	0	1	2	0	0	0	0	0	1	0
remote_work_1---remote_work_2	12	21	18	10	11	4	6	3	4	5	0	2	2
remote_work_1---shop_1	19	8	8	2	0	4	3	0	2	1	0	2	1
remote_work_1---shop_2	2	2	0	0	0	0	0	0	0	0	0	0	0
remote_work_1---work_1	8	18	7	3	5	3	2	1	2	2	1	1	3
remote_work_1---work_2	23	30	22	13	8	7	10	6	4	2	0	2	5
remote_work_1---work_3	7	1	0	3	0	0	1	1	0	0	0	0	1
remote_work_1---work_4	0	0	0	0	0	0	0	0	0	0	0	1	0
remote_work_2---escort_kids_1	0	0	0	0	0	0	0	1	0	0	0	0	0
remote_work_2---escort_kids_2	0	0	0	0	0	0	0	0	1	0	1	0	0
remote_work_2---escort_other_1	1	0	0	0	0	0	0	0	0	0	0	0	0
remote_work_2---home_1	8	5	5	7	6	4	2	6	6	2	2	4	2
remote_work_2---home_2	3	8	6	3	0	4	1	2	4	0	0	1	2
remote_work_2---home_3	0	3	1	2	1	0	1	0	0	0	0	0	0
remote_work_2---leisure_1	4	1	4	3	1	1	0	0	0	0	1	0	0
remote_work_2---leisure_2	2	0	1	1	1	1	1	1	0	0	1	0	1
remote_work_2---remote_work_3	6	4	6	1	1	2	3	1	0	0	0	2	2
remote_work_2---shop_1	6	2	0	0	1	1	1	1	0	0	0	0	0
remote_work_2---shop_2	0	1	0	0	0	0	0	0	0	0	0	0	0
